,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Nicolas Batum,France,5,3,2,60%,"23,6","6,2","1,2","1,8",67%,1,"3,6",28%,"2,2","5,4",41%,"0,8","1,2",67%,"0,6","2,8","3,4",2,"0,8","1,2","1,6",0,1,0,9,"4,8","6,6",18%,"0,94","122,9","103,1","19,7","115,9","87,6","28,3",50%,53%,15%,2,6%,1,6%,0,24%,"1,13",30%,"0,6",6%,12%,14%,8%,39%,0%,23%,"2,5","4,30%","7,40%","2,60%","0,00%","17,10%","12,20%","15,20%","18,20%","11,20%","3,80%","5,60%","3,1",0,"13,9","0,1","0,3","0,4","0,139","0,1","5,8","5,9","2,6","69,5","122,9","103,1","19,7",64%,37%,17%,10%,54%,26%,16%,5%,"76,8","100,9",105,"-4,1",58%,29%,21%,10%,55%,35%,17%,10%,"-7,3","21,9","-1,9","23,8",5%,8%,-4%,0%,-1%,-9%,-2%,-5%
Guerschon Yabusele,France,5,3,2,60%,"22,8","10,8","2,8","4,2",67%,1,"2,4",42%,"3,8","6,6",58%,"2,2","3,2",69%,"1,2",2,"3,2",2,"1,6","1,4","0,6",0,2,0,"10,6","-0,2","9,6",22%,"1,13","105,1",104,"1,1","114,8","94,7","20,1",65%,68%,17%,"1,75",10%,"0,8",17%,"1,25",6%,1,19%,"1,33",15%,17%,14%,8%,18%,29%,17%,"1,3","6,90%","10,70%","3,30%","14,30%","10,20%","10,90%","8,90%","0,00%","8,60%","3,50%","1,70%",5,0,"18,8","0,2","0,3","0,5","0,159","3,5","2,6","6,1","2,6","74,5","105,1",104,"1,1",58%,26%,19%,10%,54%,31%,16%,8%,"72,6","115,8","104,5","11,3",63%,39%,21%,11%,55%,31%,17%,8%,2,"-10,7","-0,5","-10,2",-6%,-12%,-2%,-1%,-1%,0%,-1%,0%
Evan Fournier,France,5,3,2,60%,"22,8","13,8","2,6","4,4",59%,"2,2","6,8",32%,"4,8","11,2",43%,2,"2,6",77%,"0,4","2,8","3,2","1,4","2,8","0,8","0,2",0,"1,8",0,"7,8","-6,8","15,2",33%,"0,91","96,6","114,9","-18,3","89,2",106,"-16,8",53%,56%,11%,"1,5",14%,"0,73",4%,2,4%,2,41%,"0,87",8%,18%,12%,20%,7%,0%,8%,"0,5","2,30%","2,90%","1,80%","0,00%","13,10%","12,90%","13,30%","0,00%","8,30%","2,00%","0,60%","4,5",0,"12,8","-0,2","0,2",0,"-0,014","-0,7","-1,3",-2,0,"77,7","96,6","114,9","-18,3",57%,27%,23%,9%,57%,31%,14%,10%,69,127,92,"34,9",65%,38%,15%,12%,51%,31%,20%,6%,"8,7","-30,4","22,8","-53,2",-8%,-12%,8%,-3%,7%,0%,-6%,4%
Nando De Colo,France,5,3,2,60%,"21,6","8,4","1,4","2,4",58%,"1,6","4,2",38%,3,"6,6",45%,"0,8","0,8",100%,"0,6","2,8","3,4","4,6","2,6","0,6",0,0,"1,8",0,9,"-1,2","9,6",21%,"0,88","105,4","105,8","-0,4","112,7","99,2","13,6",58%,60%,10%,"0,8",6%,"1,33",8%,"1,5",2%,0,42%,"1,2",4%,27%,29%,19%,47%,33%,32%,"1,8","3,60%","8,30%","1,70%","0,00%","13,60%","14,50%","10,90%","0,00%","9,10%","1,40%","0,00%","4,3",0,"13,2","0,2","0,2","0,4","0,152","1,1","-1,1",0,"0,6","73,9","105,4","105,8","-0,4",60%,26%,21%,9%,54%,32%,16%,8%,"73,3","115,8","102,4","13,4",61%,39%,18%,11%,54%,29%,17%,8%,"0,6","-10,3","3,4","-13,8",-1%,-12%,3%,-2%,0%,3%,-1%,0%
Terry Tarpey,France,5,3,2,60%,"14,8","2,4","0,2","0,6",33%,"0,6","1,4",43%,"0,8",2,40%,"0,2","0,4",50%,"1,6","1,2","2,8",1,"0,4","0,6","0,2",0,2,0,"3,2","3,6","2,6",7%,"0,92","120,1","105,5","14,6","125,9","102,7","23,1",55%,55%,23%,"0,67",0%,-,0%,-,31%,"1,5",23%,1,8%,15%,6%,4%,8%,6%,28%,"2,5","11,00%","14,30%","9,50%","0,00%","7,30%","6,40%","5,10%","7,70%","9,00%","1,70%","0,70%","5,5",0,9,"0,1","0,2","0,3","0,142","-0,5","2,5",2,"0,8","73,9","120,1","105,5","14,6",66%,33%,20%,11%,58%,26%,19%,8%,"73,3",101,103,-2,56%,32%,20%,9%,51%,35%,15%,7%,"0,6","19,1","2,5","16,6",10%,1%,0%,2%,7%,-9%,4%,1%
Yakuba Ouattara,France,5,3,2,60%,"9,2","3,4","1,4","1,6",88%,0,"1,4",0%,"1,4",3,47%,"0,6","0,8",75%,"0,4","0,6",1,"0,4","0,4",0,0,0,0,0,"2,6","3,6","3,6",20%,"0,94","120,8","93,8",27,"105,3","91,1","14,2",47%,53%,33%,"1,67",6%,2,6%,2,0%,-,39%,0,6%,11%,6%,0%,0%,33%,10%,1,"6,10%","0,00%","9,50%","0,00%","6,70%","0,00%","5,60%","50,00%","6,40%","0,00%","0,00%",0,0,10,0,"0,1","0,2","0,141","-3,8","-2,6","-6,4","-0,6","71,9","120,8","93,8",27,65%,42%,21%,5%,46%,44%,19%,7%,"74,1","107,2",107,"0,2",59%,30%,19%,11%,57%,26%,16%,8%,"-2,1","13,6","-13,3","26,9",5%,12%,2%,-6%,-10%,18%,3%,-1%
Mathias Lessort,France,5,3,2,60%,"6,8","3,2","1,4","1,6",88%,0,0,-,"1,4","1,6",88%,"0,4","0,6",67%,"0,6","1,6","2,2","0,2","0,6","0,2",0,0,"0,8",0,4,"-6,4","2,4",11%,"1,33",92,"118,1","-26,1","127,9","108,9",19,88%,89%,33%,"1,5",33%,2,0%,-,0%,-,0%,-,8%,25%,3%,7%,0%,0%,8%,"0,3","6,50%","9,50%","3,30%","0,00%","14,80%","5,60%","15,60%","14,30%","11,00%","1,00%","0,00%","3,8",0,"19,9","0,1","0,1","0,1","0,161","-1,1","1,1",0,"0,2","74,3",92,"118,1","-26,1",54%,20%,22%,9%,57%,35%,12%,12%,"73,3","116,8","98,9","17,9",63%,37%,19%,10%,53%,29%,18%,6%,"0,9","-24,8","19,2",-44,-8%,-18%,3%,-1%,4%,6%,-6%,6%
Rudy Gobert,France,5,3,2,60%,19,"8,6","3,2","4,6",70%,0,"0,2",0%,"3,2","4,8",67%,"2,2","3,4",65%,"1,2","5,4","6,6",1,"1,6","0,8","1,4",0,"1,8",0,"12,2","3,2",8,24%,"1,08","111,6","98,7","12,9","94,1","80,6","13,5",67%,67%,30%,"1,5",28%,"1,27",0%,-,0%,-,3%,0,20%,20%,9%,12%,6%,8%,11%,"0,6","10,70%","14,30%","5,90%","14,30%","32,10%","32,30%","29,80%","25,00%","23,60%","2,50%","5,00%","5,7",0,"21,2","-0,1","0,4","0,3","0,131","-3,8","5,1","1,3","0,9","75,2","111,6","98,7","12,9",68%,23%,24%,13%,51%,30%,16%,8%,"72,4","108,9","108,2","0,7",56%,37%,16%,8%,57%,32%,17%,8%,"2,8","2,7","-9,5","12,2",12%,-14%,8%,5%,-6%,-2%,0%,1%
Isaia Cordinier,France,5,3,2,60%,"15,4","7,4","1,6","2,6",62%,"0,8",2,40%,"2,4","4,6",52%,"1,8",2,90%,"1,2","1,8",3,"2,8","0,8","0,4",0,0,"2,4",0,8,"-4,4","6,4",16%,"1,16","98,9","107,1","-8,2","117,5","104,6","12,9",61%,66%,19%,"1,67",16%,"0,4",6%,2,25%,"1,5",6%,0,16%,13%,22%,25%,15%,21%,30%,"3,5","7,00%","0,00%","11,10%","0,00%","10,00%","4,30%","12,50%","11,80%","8,50%","1,10%","0,00%","6,6",0,"19,7","0,1","0,2","0,3","0,154","4,9",-1,"3,9","1,3","75,3","98,9","107,1","-8,2",55%,23%,19%,11%,57%,28%,17%,9%,"72,1","120,3","101,5","18,8",66%,42%,20%,9%,52%,34%,16%,7%,"3,3","-21,4","5,6",-27,-11%,-19%,-1%,2%,5%,-6%,1%,3%
Moustapha Fall,France,5,3,2,60%,"9,2","1,6","0,8","1,4",57%,0,0,-,"0,8","1,4",57%,0,1,0%,1,"0,2","1,2","0,8","0,4",0,"0,8",0,"1,4",0,1,3,"2,2",9%,"0,73","123,7","102,9","20,8","98,5","102,4","-3,9",57%,44%,27%,"1,33",36%,1,0%,-,0%,-,0%,-,18%,18%,8%,11%,6%,0%,27%,2,"8,90%","4,00%","16,70%","0,00%","1,80%","0,00%","3,80%","0,00%","5,40%","0,00%","4,30%","6,9",0,"6,6",0,"0,1","0,1","0,081","-3,4","2,1","-1,4","0,1","67,3","123,7","102,9","20,8",59%,41%,15%,8%,53%,27%,15%,5%,"76,1","105,2","104,7","0,5",61%,28%,22%,11%,55%,32%,17%,9%,"-8,8","18,5","-1,8","20,3",-2%,13%,-7%,-2%,-2%,-5%,-2%,-4%
Junior Madut,South Sudan,5,3,2,60%,1,0,0,0,-,0,"0,4",0%,0,"0,4",0%,0,0,-,0,"0,2","0,2","0,2",0,0,0,0,0,0,0,"-1,8","0,4",15%,0,"63,6",160,"-96,4","46,4","135,5","-89,1",0%,0%,0%,-,0%,-,0%,-,0%,-,100%,0,-,0%,33%,50%,0%,-,33%,"0,2","0,00%","0,00%","0,00%","0,00%","25,00%","0,00%","33,30%","0,00%","7,70%","0,00%","0,00%",0,0,"-4,8",0,0,0,"-0,309","-0,2","-4,9","-5,1",0,"87,7","63,6",160,"-96,4",29%,22%,8%,8%,73%,50%,8%,25%,"76,6","117,2","106,1","11,1",62%,26%,14%,11%,53%,32%,14%,10%,"11,1","-53,6","53,9","-107,5",-33%,-3%,-6%,-3%,20%,18%,-6%,15%
Nuni Omot,South Sudan,5,3,2,60%,26,"14,4","2,4","3,8",63%,"1,8","3,4",53%,"4,2","7,2",58%,"4,2","5,4",78%,"0,4","2,4","2,8",2,"1,4","0,6","0,2",0,"2,2",0,"12,2","0,2",11,21%,"1,31","122,8","117,8",5,"116,6","110,2","6,3",71%,75%,16%,"1,78",11%,"0,67",7%,1,11%,"1,5",20%,"1,64",22%,13%,11%,7%,13%,21%,15%,"1,4","1,90%","0,00%","1,80%","7,70%","10,50%","6,70%","10,90%","11,10%","6,50%","1,20%","0,50%","4,6",0,18,"0,2","0,1","0,3","0,094","3,4","-0,1","3,4","1,9","77,6","122,8","117,8",5,64%,27%,15%,10%,59%,35%,14%,11%,"75,9","105,6","91,9","13,7",55%,24%,11%,11%,46%,29%,14%,10%,"1,7","17,3",26,"-8,7",9%,4%,4%,-1%,13%,6%,1%,0%
Carlik Jones,South Sudan,5,3,2,60%,"30,2","20,4","5,4","10,6",51%,2,"4,8",42%,"7,4","15,4",48%,"3,6","4,6",78%,1,"3,8","4,8","10,4","1,8","1,2",0,0,"2,4",0,"23,6",6,"19,2",30%,"1,06","126,6","114,7",12,"138,2","105,4","32,7",55%,59%,20%,"1,47",22%,"0,95",14%,"0,46",0%,-,24%,"1,17",10%,9%,46%,35%,67%,37%,35%,"5,8","4,20%","3,60%","4,70%","0,00%","13,10%","8,60%","16,90%","0,00%","9,10%","2,00%","0,00%","4,1",0,"27,3",1,"0,2","1,3","0,333","8,4","-1,5","6,8","3,6","77,8","126,6","114,7",12,67%,22%,13%,13%,57%,33%,14%,9%,"74,4","85,7",88,"-2,2",44%,32%,14%,6%,44%,31%,14%,14%,"3,4","40,9","26,7","14,2",23%,-10%,-1%,7%,13%,2%,-1%,-4%
Khaman Madit Maluach,South Sudan,5,3,2,60%,"8,2","1,6","0,6","1,4",43%,0,"0,4",0%,"0,6","1,8",33%,"0,4","0,6",67%,"0,6","2,4",3,"0,2","0,2",0,"0,6",0,"1,8",0,2,"-0,4","2,2",8%,"0,73",111,"112,6","-1,6","85,4","104,8","-19,4",33%,40%,27%,"0,67",36%,1,0%,-,0%,-,18%,0,9%,9%,2%,4%,0%,0%,8%,1,"4,50%","2,60%","3,60%","16,70%","18,20%","19,40%","14,70%","11,10%","11,30%","0,00%","2,70%","7,1",0,"5,8",0,"0,1","0,1","0,058","-4,7","1,9","-2,8","-0,1","76,4",111,"112,6","-1,6",54%,27%,10%,10%,56%,23%,10%,11%,"77,1",118,"105,1","12,9",64%,25%,15%,11%,53%,37%,16%,10%,"-0,7",-7,"7,5","-14,4",-10%,2%,-5%,-2%,3%,-15%,-6%,0%
Kuany Ngor Kuany,South Sudan,5,3,2,60%,"23,8",7,"0,6","1,4",43%,"1,8","5,4",33%,"2,4","6,8",35%,"0,4","0,4",100%,"0,6",2,"2,6","3,2","0,4",1,0,0,"2,4",0,"6,6","6,6","7,4",17%,"0,95","120,4",101,"19,4","118,3",92,"26,3",49%,50%,8%,"1,33",8%,"0,67",3%,0,22%,"1,13",51%,"0,95",3%,5%,18%,10%,39%,12%,30%,8,"3,50%","2,30%","4,00%","0,00%","8,80%","11,10%","6,30%","0,00%","6,50%","2,50%","0,00%",6,0,"10,3","0,2","0,3","0,5","0,164","2,8","0,1","2,9","1,6","76,5","120,4",101,"19,4",63%,20%,12%,10%,49%,35%,14%,15%,"77,3","111,1",114,"-2,9",58%,30%,15%,11%,58%,30%,14%,6%,"-0,8","9,3",-13,"22,3",5%,-10%,-3%,-1%,-9%,5%,0%,8%
Marial Shayok,South Sudan,5,3,2,60%,"26,4","13,2",3,"5,8",52%,"1,8","3,8",47%,"4,8","9,6",50%,"1,8","2,4",75%,1,"2,6","3,6","2,2",1,"0,4",0,0,2,0,11,"6,2","11,6",25%,"1,14","123,2","104,6","18,7","118,2","100,9","17,3",59%,62%,17%,"1,2",17%,1,16%,"0,89",5%,3,28%,"1,13",9%,9%,13%,15%,9%,9%,16%,"2,2","5,30%","9,40%","0,00%","0,00%","11,90%","11,30%","11,10%","7,70%","8,90%","0,90%","0,00%","4,6",0,"15,5","0,2","0,2","0,5","0,138","2,4","-1,2","1,2","1,2","75,2","123,2","104,6","18,7",64%,22%,13%,12%,55%,26%,15%,9%,79,"107,1",111,"-3,9",56%,29%,14%,9%,53%,41%,13%,13%,"-3,8","16,1","-6,4","22,5",8%,-6%,-1%,3%,2%,-15%,2%,-4%
Deng Acuoth,South Sudan,5,3,2,60%,"5,8","1,2","0,2","0,6",33%,"0,2","0,2",100%,"0,4","0,8",50%,"0,2","0,2",100%,"0,4","0,4","0,8","0,2","0,4","0,4",0,0,"0,6",0,"1,2","-5,2","1,2",6%,1,"84,1","112,4","-28,3","96,2","109,6","-13,5",63%,75%,17%,2,33%,0,0%,-,0%,-,17%,3,0%,33%,4%,7%,0%,0%,14%,"0,5","3,70%","0,00%","7,40%","0,00%","5,00%","0,00%","4,80%","25,00%","4,30%","2,20%","0,00%","3,4",0,"7,5",0,0,0,"0,052","-1,1","2,9","1,9","0,3","78,5","84,1","112,4","-28,3",45%,17%,14%,2%,59%,28%,15%,8%,"76,4","124,8","106,1","18,7",65%,29%,13%,13%,52%,34%,14%,11%,2,"-40,7","6,3",-47,-21%,-12%,1%,-11%,6%,-6%,1%,-3%
Majok Deng,South Sudan,5,3,2,60%,"23,2","10,4","2,6","3,4",76%,"0,8","4,2",19%,"3,4","7,6",45%,"2,8","3,4",82%,"1,2","3,4","4,6","0,2","1,6",1,1,0,"2,2",0,"8,6","7,2","10,6",20%,"0,98","119,8","104,6","15,2","84,6","94,9","-10,2",50%,58%,21%,"1,82",0%,-,11%,1,11%,"0,5",28%,"0,6",13%,15%,1%,2%,0%,0%,2%,"0,1","5,60%","7,30%","1,80%","8,30%","13,70%","17,00%","10,60%","4,50%","9,90%","2,10%","2,40%","4,6",0,"12,9","-0,2","0,3","0,2","0,053","-2,8",1,"-1,7","0,1","75,3","119,8","104,6","15,2",63%,20%,13%,14%,53%,31%,15%,9%,"79,5","109,6","111,6",-2,57%,32%,15%,7%,55%,36%,13%,13%,"-4,2","10,3","-6,9","17,2",5%,-12%,-2%,7%,-2%,-5%,1%,-3%
Dut Jok Kacuol,South Sudan,5,3,2,60%,18,"10,2","0,8","1,8",44%,"2,8","4,8",58%,"3,6","6,6",55%,"0,2","0,2",100%,"0,2","1,8",2,1,1,"0,6",0,0,"2,2",0,"7,6","-2,6","7,4",15%,"1,38","101,8","109,8","-7,9","115,9","104,6","11,3",76%,77%,5%,2,3%,0,16%,"0,67",19%,"1,29",43%,"2,06",0%,14%,6%,7%,11%,0%,12%,1,"0,90%","0,00%","1,80%","0,00%","8,20%","1,90%","12,30%","6,70%","4,50%","1,40%","0,00%","5,1",0,"16,5","0,1","0,2","0,3","0,127","3,8","0,4","4,2","1,5","79,3","101,8","109,8","-7,9",54%,23%,16%,9%,54%,31%,13%,11%,74,"133,1","104,8","28,3",69%,29%,11%,13%,53%,34%,15%,10%,"5,3","-31,3","4,9","-36,2",-14%,-6%,5%,-4%,1%,-4%,-2%,2%
Koch Bar,South Sudan,5,3,2,60%,"3,4",0,0,0,-,0,0,-,0,0,-,0,0,-,"0,2","0,6","0,8","0,2",0,"0,2",0,0,"0,8",0,"0,4","2,6",0,-,-,"106,1","91,9","14,2","210,4","89,7","120,7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,5%,0%,0%,-,"0,2","2,20%","0,00%","4,50%","0,00%","5,90%","3,30%","5,30%","12,50%","4,20%","1,00%","0,00%",4,0,"3,6",0,"0,2","0,2","0,447","-2,5","2,8","0,3","0,1","72,8","106,1","91,9","14,2",58%,22%,18%,10%,50%,29%,20%,11%,"78,3","118,9","112,6","6,3",61%,27%,12%,11%,55%,34%,12%,11%,"-5,5","-12,8","-20,7","7,9",-3%,-4%,5%,-1%,-5%,-4%,8%,0%
Wenyen Gabriel,South Sudan,5,3,2,60%,"23,6","9,2","3,4","5,6",61%,0,"0,6",0%,"3,4","6,2",55%,"2,4",4,60%,"2,4","4,4","6,8","1,2","1,6","0,4","2,6",0,"3,2",0,11,"10,6","9,6",29%,"0,96","137,7","98,1","39,5","105,8","77,9","27,9",55%,58%,27%,"1,23",29%,"1,29",2%,0,0%,-,6%,0,19%,17%,9%,3%,17%,0%,11%,"0,8","19,40%","26,70%","11,10%","0,00%","22,40%","16,00%","21,70%","28,60%","21,30%","1,20%","8,60%","9,9",0,"15,5","0,1","0,4","0,5","0,16","-4,3","4,5","0,1","0,7","77,2","137,7","98,1","39,5",72%,23%,12%,13%,46%,37%,13%,11%,"76,6","101,7","113,8","-12,1",54%,27%,15%,9%,59%,28%,15%,10%,"0,6",36,"-15,7","51,7",18%,-4%,-3%,4%,-13%,8%,-1%,0%
Sunday Dech,South Sudan,5,3,2,60%,"15,4","3,6","0,6","2,4",25%,"0,6",1,60%,"1,2","3,4",35%,"0,6","1,2",50%,"0,2",1,"1,2","1,6","1,6","0,8",0,0,1,0,"1,8","-4,4","5,4",23%,"0,67","81,5","98,2","-16,7","90,9","90,5","0,5",44%,47%,11%,"1,33",30%,"0,25",4%,0,0%,-,19%,"1,8",7%,30%,25%,23%,50%,0%,23%,1,"1,60%","0,00%","3,20%","0,00%","7,60%","3,70%","7,50%","10,00%","4,70%","3,60%","0,00%","4,5",0,"4,1","-0,1","0,2","0,1","0,062","-0,6","-0,1","-0,7","0,3","77,6","81,5","98,2","-16,7",45%,20%,18%,9%,48%,29%,12%,11%,"76,6","128,7","111,1","17,6",66%,28%,12%,11%,56%,34%,15%,10%,1,"-47,2","-12,9","-34,3",-21%,-9%,7%,-2%,-8%,-6%,-2%,1%
Isaiah Pineiro,Puerto Rico,5,3,2,60%,"23,8","10,4","2,6","4,6",57%,"0,8","2,2",36%,"3,4","6,8",50%,"2,8","2,8",100%,"0,6","2,4",3,"1,2",2,1,"0,6",0,"1,8",0,9,"-0,8",10,29%,"1,04","113,5","116,1","-2,6","101,9","105,5","-3,6",56%,65%,8%,"1,5",24%,1,14%,"1,14",12%,0,10%,"2,4",12%,20%,11%,7%,27%,0%,11%,"0,6","4,20%","7,50%","0,00%","0,00%","18,50%","16,70%","21,20%","0,00%","11,00%","3,20%","2,30%","5,8",0,"14,5",0,"0,1","0,1","0,041",-3,"1,1","-1,9",0,"83,1","113,5","116,1","-2,6",61%,27%,17%,13%,62%,26%,15%,9%,77,"106,8","108,5","-1,7",55%,30%,15%,8%,57%,26%,14%,9%,"6,2","6,8","7,7","-0,9",6%,-3%,2%,4%,5%,0%,1%,0%
John Holland,Puerto Rico,5,3,2,60%,14,4,"0,4","0,6",67%,"0,8",2,40%,"1,2","2,6",46%,"0,8","1,4",57%,"0,4","1,6",2,1,"0,6","0,2",0,0,2,0,"2,6","3,4","3,8",11%,"1,05","114,2","100,6","13,6","113,7","98,8","14,9",62%,63%,5%,2,5%,2,5%,0,5%,3,47%,1,16%,16%,7%,11%,5%,0%,21%,"1,7","2,70%","0,00%","4,30%","0,00%","9,30%","2,30%","16,30%","0,00%","6,20%","0,60%","0,00%",6,0,"7,8","0,1","0,2","0,2","0,14","-3,7","-1,1","-4,7","-0,5","76,1","114,2","100,6","13,6",62%,17%,14%,12%,51%,24%,12%,7%,"81,5","106,1","119,1","-12,9",54%,36%,16%,9%,64%,28%,17%,10%,"-5,4",8,"-18,5","26,5",7%,-18%,-2%,3%,-14%,-4%,-5%,-2%
George Conditt,Puerto Rico,5,3,2,60%,"30,4","10,8",4,"6,8",59%,"0,2",1,20%,"4,2","7,8",54%,"2,2","3,4",65%,"3,2","4,2","7,4","1,4","1,4","0,4","1,6",0,"2,2",0,"13,2","-0,6","10,4",24%,"1,04",101,"107,6","-6,6",114,95,19,55%,60%,21%,"1,64",35%,1,10%,"0,8",4%,"1,5",6%,0,12%,13%,11%,3%,20%,33%,12%,1,"17,20%","19,60%","13,60%","0,00%","22,30%","17,00%","26,30%","25,00%","19,80%","1,10%","5,00%",6,0,"16,1","0,2","0,2","0,4","0,104","0,9","2,1",3,2,"78,2",101,"107,6","-6,6",55%,25%,18%,5%,57%,24%,15%,8%,"80,2","116,9","114,6","2,3",59%,32%,14%,15%,60%,28%,14%,10%,-2,"-15,9",-7,"-8,9",-5%,-8%,4%,-10%,-3%,-4%,1%,-2%
Jordan Howard,Puerto Rico,5,3,2,60%,"21,4","11,4","1,4","3,2",44%,2,"5,8",34%,"3,4",9,38%,"2,6",3,87%,"0,2",2,"2,2","2,8","1,4","0,4",0,0,"0,6",0,"8,8","5,2","11,8",20%,"0,97","109,1","99,2","9,9","111,9","97,8","14,1",49%,55%,0%,-,7%,"1,5",20%,"0,67",8%,"1,2",41%,1,12%,12%,14%,9%,26%,12%,19%,2,"0,80%","0,00%","1,40%","0,00%","8,00%","7,50%","8,30%","0,00%","4,30%","0,80%","0,00%","1,2",0,"15,7","0,1","0,3","0,4","0,163","-1,4","-3,4","-4,8","-0,8","78,6","109,1","99,2","9,9",55%,29%,13%,12%,52%,26%,15%,11%,"80,3","109,8","131,8",-22,62%,28%,20%,6%,69%,28%,13%,5%,"-1,7","-0,7","-32,6","31,9",-8%,1%,-6%,6%,-17%,-2%,2%,5%
Stephen Thompson,Puerto Rico,5,3,2,60%,"18,2","9,2","1,4","3,4",41%,2,4,50%,"3,4","7,4",46%,"0,4",1,40%,"1,4",2,"3,4","1,2","0,6","1,4",0,0,"1,4",0,"8,6","0,2","8,4",18%,"1,1","112,6","113,8","-1,2","115,2","106,7","8,4",59%,59%,10%,"0,5",24%,"1,2",7%,0,10%,"1,5",38%,"1,5",5%,7%,8%,9%,6%,6%,13%,2,"7,20%","8,00%","4,30%","0,00%","12,50%","12,80%","11,10%","11,10%","9,60%","3,60%","0,00%","3,6",0,"20,2","0,1","0,1","0,2","0,106",0,"0,4","0,4","0,6","81,7","112,6","113,8","-1,2",59%,35%,18%,9%,63%,24%,18%,7%,77,"106,3","109,1","-2,9",56%,24%,13%,11%,55%,28%,12%,10%,"4,8","6,4","4,7","1,7",3%,11%,5%,-3%,9%,-5%,6%,-3%
Aleem Ford,Puerto Rico,5,3,2,60%,"11,4","3,6",0,"0,6",0%,1,"2,4",42%,1,3,33%,"0,6","0,8",75%,"0,2","0,4","0,6","0,4","0,2","0,6","0,2",0,1,0,2,1,"3,6",12%,1,"117,7","115,6","2,1","94,1","109,1",-15,50%,53%,6%,0,0%,-,11%,0,28%,"1,8",39%,"0,86",11%,6%,3%,4%,5%,0%,10%,2,"1,60%","0,00%","2,50%","0,00%","3,30%","5,60%","0,00%","0,00%","2,40%","2,30%","0,90%","3,9",0,"9,5",0,"0,1",0,"0,03","-3,7","-0,2","-3,9","-0,3",82,"117,7","115,6","2,1",61%,27%,14%,10%,60%,23%,13%,11%,78,"105,4","109,5",-4,56%,30%,16%,10%,58%,28%,16%,8%,4,"12,3","6,2","6,1",5%,-3%,-2%,-1%,2%,-5%,-3%,2%
Justin Reyes,Puerto Rico,5,3,2,60%,"1,6",0,0,"0,4",0%,0,0,-,0,"0,4",0%,0,0,-,0,"0,4","0,4","0,2",0,0,0,0,0,0,"0,2","-1,6","0,4",9%,0,"77,8","122,2","-44,4","83,7","122,4","-38,7",0%,0%,0%,-,50%,0,50%,0,0%,-,0%,-,-,0%,14%,0%,50%,0%,33%,"0,2","0,00%","0,00%","0,00%","0,00%","28,60%","50,00%","25,00%","0,00%","10,00%","0,00%","0,00%",0,0,"-1,1",0,0,0,"-0,055","-9,6",-2,"-11,6","-0,2","83,4","77,8","122,2","-44,4",35%,38%,13%,17%,65%,14%,11%,11%,79,"110,8","110,9","-0,1",58%,28%,16%,10%,58%,27%,15%,9%,"4,4",-33,"11,3","-44,4",-23%,10%,-3%,8%,7%,-12%,-4%,2%
Ismael Romero,Puerto Rico,5,3,2,60%,"25,8","11,4",5,8,63%,0,0,-,5,8,63%,"1,4",3,47%,"2,6","4,8","7,4","0,6","1,6","0,8","0,2",0,"2,6",0,"11,6","0,2","10,8",19%,"1,06",116,"114,7","1,3","105,2","108,5","-3,3",63%,61%,26%,"1,57",44%,"1,17",2%,0,0%,-,0%,-,13%,15%,3%,3%,5%,0%,5%,"0,4","11,50%","15,70%","7,60%","0,00%","23,30%","28,60%","9,10%","44,40%","17,10%","1,60%","0,50%",5,0,"16,2","0,1","0,1","0,2","0,058","-5,6","-0,7","-6,3","-1,5","80,5",116,"114,7","1,3",62%,30%,18%,11%,63%,24%,17%,10%,"77,1",98,"105,5","-7,5",49%,28%,12%,9%,51%,29%,11%,8%,"3,5",18,"9,2","8,8",13%,2%,5%,2%,12%,-5%,6%,2%
Christopher Ortiz,Puerto Rico,5,3,2,60%,17,"7,2",1,3,33%,"1,2",3,40%,"2,2",6,37%,"1,6","2,4",67%,"0,2","2,2","2,4","0,4","0,6","0,2",0,0,"1,8",0,"3,2","-7,4","7,6",17%,"0,95","98,1","118,6","-20,5","73,4",114,"-40,7",47%,51%,11%,"0,5",24%,"0,89",5%,0,3%,0,37%,"1,29",13%,8%,3%,5%,0%,0%,5%,"0,7","0,90%","0,00%","0,00%","14,30%","10,70%","9,10%","9,30%","14,30%","5,60%","0,50%","0,00%","4,4",0,"8,1","-0,2",0,"-0,2","-0,075","-4,6","-2,5","-7,2","-1,2","78,3","98,1","118,6","-20,5",52%,19%,14%,9%,59%,26%,11%,9%,"80,3","121,3",104,"17,3",63%,41%,17%,11%,58%,26%,18%,9%,-2,"-23,2","14,6","-37,8",-11%,-22%,-3%,-2%,1%,0%,-7%,0%
